ID,Local,Visitante,Liga,Temporada,Minuto,Evento,Equipo,Jugador,Jugador_2,
473360,Eibar,Celta de Vigo,PrimeraDivision(España),12 Septiembre 2020 - 14:00,13,Tarjeta Amarillla,Eibar,Pedro Bigas,,
473360,Eibar,Celta de Vigo,PrimeraDivision(España),12 Septiembre 2020 - 14:00,37,Tarjeta Amarillla,Celta de Vigo,Nolito,,
473360,Eibar,Celta de Vigo,PrimeraDivision(España),12 Septiembre 2020 - 14:00,41,Tarjeta Amarillla,Eibar,Sergio Álvarez,,
473360,Eibar,Celta de Vigo,PrimeraDivision(España),12 Septiembre 2020 - 14:00,61,Cambio,Eibar,Damian Kądzior,Takashi Inui,
473360,Eibar,Celta de Vigo,PrimeraDivision(España),12 Septiembre 2020 - 14:00,68,Cambio,Eibar,Recio,Sergi Enrich,
473360,Eibar,Celta de Vigo,PrimeraDivision(España),12 Septiembre 2020 - 14:00,73,Tarjeta Amarillla,Celta de Vigo,Lucas Olaza,,
473360,Eibar,Celta de Vigo,PrimeraDivision(España),12 Septiembre 2020 - 14:00,75,Tarjeta Amarillla,Celta de Vigo,David Juncà,,
473360,Eibar,Celta de Vigo,PrimeraDivision(España),12 Septiembre 2020 - 14:00,77,Cambio,Celta de Vigo,Miguel Baeza,Brais Méndez,
473360,Eibar,Celta de Vigo,PrimeraDivision(España),12 Septiembre 2020 - 14:00,78,Tarjeta Amarillla,Celta de Vigo,Okay Yokuşlu,,
473360,Eibar,Celta de Vigo,PrimeraDivision(España),12 Septiembre 2020 - 14:00,81,Tarjeta Amarillla,Eibar,Papakouli Diop,,
473360,Eibar,Celta de Vigo,PrimeraDivision(España),12 Septiembre 2020 - 14:00,84,Cambio,Eibar,Rafa Soares,Pedro León,
473360,Eibar,Celta de Vigo,PrimeraDivision(España),12 Septiembre 2020 - 14:00,85,Cambio,Celta de Vigo,Santi Mina,Emre Mor,
473360,Eibar,Celta de Vigo,PrimeraDivision(España),12 Septiembre 2020 - 14:00,87,Tarjeta Amarillla,Eibar,Papakouli Diop,,
473360,Eibar,Celta de Vigo,PrimeraDivision(España),12 Septiembre 2020 - 14:00,87,Tarjeta Roja,Eibar,Papakouli Diop,,
473359,Granada,Athletic Bilbao,PrimeraDivision(España),12 Septiembre 2020 - 16:30,10,Tarjeta Amarillla,Granada,Yangel Herrera,,
